fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
141.0,144.0,LBR,846.238673584,Liberia,Africa,Western Africa,0.0,1407.76696777,1331801115.86
152.0,155.0,MLI,186.060883619,Mali,Africa,Western Africa,0.0,3555.04907227,3979996172.97
156.0,159.0,MRT,32.1190368544,Mauritania,Africa,Western Africa,0.0,3430.66699219,579349953.737
29.0,29.0,BEN,658.67255824,Benin,Africa,Western Africa,0.0,2672.63793945,1255483248.48
42.0,42.0,BFA,521.679969075,Burkina Faso,Africa,Western Africa,0.0,2952.76391602,2377971194.63
178.0,181.0,NER,61.5946610103,Niger,Africa,Western Africa,0.0,3398.23291016,1244665612.3
179.0,182.0,NGA,608.951080249,Nigeria,Africa,Western Africa,0.0,3708.04907227,9155149572.08
66.0,66.0,CIV,855.25556781,CA'te d'Ivoire,Africa,Western Africa,0.0,2047.3659668,4527348374.05
214.0,217.0,SEN,507.580135984,Senegal,Africa,Western Africa,0.0,3421.97705078,1672444062.94
217.0,221.0,SLE,978.686385034,Sierra Leone,Africa,Western Africa,0.0,1884.55700684,1161817202.72
90.0,90.0,GMB,738.223481362,Gambia,Africa,Western Africa,0.0,2771.70996094,130912122.844
94.0,94.0,GHA,702.576134728,Ghana,Africa,Western Africa,0.0,2357.39404297,2763125146.31
105.0,105.0,GNB,974.105799074,Guinea-Bissau,Africa,Western Africa,0.0,2078.68310547,487787375.31
106.0,106.0,GIN,845.572961481,Guinea,Africa,Western Africa,0.0,2332.24511719,3403875941.34
238.0,243.0,TGO,624.273860168,Togo,Africa,Western Africa,0.0,1900.13293457,584303477.723
