fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
265.0,270.0,ZMB,721.749146976,Zambia,Africa,Eastern Africa,0.0,2487.65112305,9089241063.57
266.0,271.0,ZWE,585.495155714,Zimbabwe,Africa,Eastern Africa,0.0,2582.55908203,3940217873.82
147.0,150.0,MDG,484.224495027,Madagascar,Africa,Eastern Africa,0.0,2883.21508789,4918239626.75
149.0,152.0,MWI,463.352170103,Malawi,Africa,Eastern Africa,0.0,2544.67407227,921206203.356
167.0,170.0,MOZ,686.647500203,Mozambique,Africa,Eastern Africa,0.0,2779.2590332,9229356766.67
43.0,43.0,BDI,622.805156368,Burundi,Africa,Eastern Africa,0.0,1786.83996582,273225867.709
58.0,58.0,COM,1029.61227194,Comoros,Africa,Eastern Africa,0.0,2083.29101562,26389992.142
70.0,70.0,DJI,18.2334035861,Djibouti,Africa,Eastern Africa,0.0,3106.84692383,6563277.72145
202.0,205.0,RWA,584.952541991,Rwanda,Africa,Eastern Africa,0.0,1699.64196777,242286172.988
77.0,77.0,ERI,105.517206067,Eritrea,Africa,Eastern Africa,0.0,2668.33691406,213770262.253
79.0,79.0,ETH,457.4360172,Ethiopia,Africa,Eastern Africa,0.0,2878.06689453,8526231805.64
216.0,220.0,SYC,516.209255215,Seychelles,Africa,Eastern Africa,0.0,1880.07800293,1991019.09736
222.0,226.0,SOM,252.845890445,Somalia,Africa,Eastern Africa,0.0,2805.63696289,2625382066.78
248.0,253.0,UGA,767.210145635,Uganda,Africa,Eastern Africa,0.0,2246.60498047,3022646859.67
252.0,257.0,TZA,596.005139072,United Republic of Tanzania,Africa,Eastern Africa,0.0,2395.10595703,9189452788.33
131.0,133.0,KEN,451.362534013,Kenya,Africa,Eastern Africa,0.0,3452.50610352,4287573955.85
