fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum
4.0,4.0,DZA,24.9853360888,Algeria,Africa,Northern Africa,0.0,2003.65405273,1066566256.52
6.0,6.0,SDN,137.628886081,Sudan,Africa,Northern Africa,0.0,4101.66601562,4276972880.35
270.0,40760.0,,0.735828406617,Hala'ib triangle,Africa,Northern Africa,0.0,1334.08496094,228270.895786
272.0,40765.0,EGY,48.8682571088,Egypt,Africa,Northern Africa,0.0,3816.67797852,872021355.243
142.0,145.0,LBY,7.68294637436,Libya,Africa,Northern Africa,0.0,3090.50097656,227591175.202
274.0,61013.0,,562.891289315,Ilemi triangle,Africa,Northern Africa,56.9659996033,1873.48596191,29199985.6332
276.0,74582.0,,654.952974116,Kafia Kenji,Africa,Northern Africa,358.691986084,1505.51696777,124380809.408
277.0,74583.0,,593.146224251,Kaka,Africa,Northern Africa,0.0,2619.10693359,5672257.34251
166.0,169.0,MAR,112.333628178,Morocco,Africa,Northern Africa,0.0,1962.09594727,889588536.594
74.0,74.0,SSD,771.30905159,South Sudan,Africa,Northern Africa,0.0,3129.82006836,7980421605.33
102.0,102.0,,657.715489802,Abyei,Africa,Northern Africa,32.1360015869,1543.21801758,114011691.58
243.0,248.0,TUN,75.3941663697,Tunisia,Africa,Northern Africa,0.0,2136.89990234,229271473.499
263.0,268.0,ESH,1.09458434389,Western Sahara,Africa,Northern Africa,0.0,2181.43212891,5264048.75662
