fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
4.0,4.0,DZA,159.921980051,Algeria,Africa,Northern Africa,0.0,2484.19995117,6826689513.67,2010,AET_Annual
6.0,6.0,SDN,423.764729586,Sudan,Africa,Northern Africa,0.0,4886.10009766,13168966554.7,2010,AET_Annual
270.0,40760.0,,117.370550113,Hala'ib triangle,Africa,Northern Africa,0.0,1768.40002441,36410926.7973,2010,AET_Annual
271.0,40762.0,,180.86434885,Ma'tan al-Sarra,Africa,Northern Africa,81.5,505.399993896,6320123.80622,2010,AET_Annual
272.0,40765.0,EGY,189.984255095,Egypt,Africa,Northern Africa,0.0,4599.10009766,3390142122.68,2010,AET_Annual
142.0,145.0,LBY,122.057210901,Libya,Africa,Northern Africa,0.0,4863.89990234,3615694655.65,2010,AET_Annual
274.0,61013.0,,813.051520954,Ilemi triangle,Africa,Northern Africa,252.300003052,2292.80004883,42176234.598,2010,AET_Annual
276.0,74582.0,,944.693909746,Kafia Kenji,Africa,Northern Africa,631.0,1863.19995117,179404931.012,2010,AET_Annual
277.0,74583.0,,942.353414148,Kaka,Africa,Northern Africa,475.0,3008.80004883,9011725.69949,2010,AET_Annual
166.0,169.0,MAR,233.881508857,Morocco,Africa,Northern Africa,0.0,2639.89990234,1852146492.97,2010,AET_Annual
74.0,74.0,SSD,1155.62277589,South Sudan,Africa,Northern Africa,32.0999984741,3439.10009766,11956761990.6,2010,AET_Annual
102.0,102.0,,1017.09292391,Abyei,Africa,Northern Africa,529.200012207,1694.09997559,176307972.895,2010,AET_Annual
243.0,248.0,TUN,157.344256027,Tunisia,Africa,Northern Africa,0.0,4269.29980469,478479319.593,2010,AET_Annual
263.0,268.0,ESH,141.129581838,Western Sahara,Africa,Northern Africa,0.0,2500.39990234,678716997.865,2010,AET_Annual
