fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
135.0,137.0,KWT,199.538267816,Kuwait,Asia,Western Asia,0.0,2814.80004883,64712056.097,2012,AET_Annual
139.0,141.0,LBN,485.927643629,Lebanon,Asia,Western Asia,0.0,2118.60009766,96376459.1991,2012,AET_Annual
278.0,-1.0,PSE,357.631129948,Occupied Palestinian Territory,Asia,Western Asia,14.5,1778.30004883,42058851.4064,2012,AET_Annual
279.0,-2.0,,591.686822362,No Man's Land,Asia,Western Asia,263.5,1146.80004883,907055.898682,2012,AET_Annual
21.0,21.0,BHR,61.9691650684,Bahrain,Asia,Western Asia,0.0,2447.80004883,748215.699036,2012,AET_Annual
184.0,187.0,OMN,236.414060238,Oman,Asia,Western Asia,0.0,4104.0,1268284125.78,2012,AET_Annual
64.0,64.0,CYP,,Cyprus,Asia,Western Asia,,,0.0,2012,AET_Annual
198.0,201.0,QAT,320.573973017,Qatar,Asia,Western Asia,0.0,4162.79980469,66533845.8037,2012,AET_Annual
212.0,215.0,SAU,184.208519942,Saudi Arabia,Asia,Western Asia,0.0,7267.89990234,6333826854.95,2012,AET_Annual
233.0,238.0,SYR,156.430289934,Syrian Arab Republic,Asia,Western Asia,0.0,2604.89990234,583443996.717,2012,AET_Annual
118.0,118.0,IRQ,222.161638966,Iraq,Asia,Western Asia,0.0,3268.89990234,1877335830.18,2012,AET_Annual
250.0,255.0,ARE,153.869935852,United Arab Emirates,Asia,Western Asia,0.0,4683.29980469,192318955.423,2012,AET_Annual
121.0,121.0,ISR,269.489814628,Israel,Asia,Western Asia,0.0,2147.80004883,106246898.397,2012,AET_Annual
128.0,130.0,JOR,120.995735901,Jordan,Asia,Western Asia,0.0,5676.70019531,204830777.409,2012,AET_Annual
264.0,269.0,YEM,256.598020279,Yemen,Asia,Western Asia,0.0,5997.89990234,1971489803.84,2012,AET_Annual
