fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141.0,144.0,LBR,948.169980407,Liberia,Africa,Western Africa,0.0,2073.5,1492218537.12,2014,AET_Annual
152.0,155.0,MLI,605.436277116,Mali,Africa,Western Africa,33.2000007629,4099.39990234,12950781452.4,2014,AET_Annual
156.0,159.0,MRT,307.019653388,Mauritania,Africa,Western Africa,0.0,3986.19995117,5537893094.65,2014,AET_Annual
29.0,29.0,BEN,1212.61627335,Benin,Africa,Western Africa,0.0,3252.69995117,2311343626.32,2014,AET_Annual
42.0,42.0,BFA,1089.2896418,Burkina Faso,Africa,Western Africa,344.799987793,3672.69995117,4965302438.48,2014,AET_Annual
178.0,181.0,NER,457.046709153,Niger,Africa,Western Africa,50.2999992371,3983.30004883,9235700990.02,2014,AET_Annual
47.0,47.0,CPV,184.389688213,Cabo Verde,Africa,Western Africa,0.0,2748.80004883,12629587.3044,2014,AET_Annual
179.0,182.0,NGA,1032.47833171,Nigeria,Africa,Western Africa,0.0,4410.79980469,15522586917.5,2014,AET_Annual
66.0,66.0,CIV,1144.6784669,CA'te d'Ivoire,Africa,Western Africa,0.0,2773.0,6059425289.92,2014,AET_Annual
204.0,207.0,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2014,AET_Annual
214.0,217.0,SEN,820.494072348,Senegal,Africa,Western Africa,0.0,3953.30004883,2703475456.77,2014,AET_Annual
217.0,221.0,SLE,1060.47682059,Sierra Leone,Africa,Western Africa,0.0,2187.0,1258911122.3,2014,AET_Annual
90.0,90.0,GMB,1132.12900977,Gambia,Africa,Western Africa,0.0,4204.89990234,200764965.818,2014,AET_Annual
94.0,94.0,GHA,1159.03388538,Ghana,Africa,Western Africa,0.0,3486.39990234,4558305257.09,2014,AET_Annual
105.0,105.0,GNB,1322.1594564,Guinea-Bissau,Africa,Western Africa,0.0,2282.10009766,662076636.432,2014,AET_Annual
106.0,106.0,GIN,1166.43203377,Guinea,Africa,Western Africa,0.0,3198.69995117,4695502479.19,2014,AET_Annual
238.0,243.0,TGO,1117.57843447,Togo,Africa,Western Africa,0.0,2631.10009766,1046024357.62,2014,AET_Annual
