fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141,144,LBR,18474.5133403,Liberia,Africa,Western Africa,0.0,31609.1308594,29064289132.1,2011,AGBP_Annual
152,155,MLI,1620.10682477,Mali,Africa,Western Africa,0.0,18179.6425781,34655421569.9,2011,AGBP_Annual
156,159,MRT,134.911398191,Mauritania,Africa,Western Africa,0.0,13605.5126953,2433339147.09,2011,AGBP_Annual
29,29,BEN,9587.13924205,Benin,Africa,Western Africa,0.0,26138.9707031,18273269551.0,2011,AGBP_Annual
42,42,BFA,4722.99077257,Burkina Faso,Africa,Western Africa,0.0,15903.5947266,21528652979.9,2011,AGBP_Annual
178,181,NER,298.825314098,Niger,Africa,Western Africa,0.0,11155.2753906,6038427070.59,2011,AGBP_Annual
47,47,CPV,2327.27165314,Cabo Verde,Africa,Western Africa,0.0,24676.2421875,157872799.862,2011,AGBP_Annual
179,182,NGA,8163.01800134,Nigeria,Africa,Western Africa,0.0,27768.5527344,1.2270914774e+11,2011,AGBP_Annual
66,66,CIV,13940.8496007,CA'te d'Ivoire,Africa,Western Africa,0.0,29446.4375,73789279398.7,2011,AGBP_Annual
204,207,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2011,AGBP_Annual
214,217,SEN,4137.82311444,Senegal,Africa,Western Africa,0.0,23788.6582031,13628106629.5,2011,AGBP_Annual
217,221,SLE,14396.8828764,Sierra Leone,Africa,Western Africa,0.0,29415.5800781,17084636940.6,2011,AGBP_Annual
90,90,GMB,5882.14414289,Gambia,Africa,Western Africa,0.0,22545.9375,1041415974.07,2011,AGBP_Annual
94,94,GHA,11245.2332277,Ghana,Africa,Western Africa,0.0,27875.0195312,44224421090.5,2011,AGBP_Annual
105,105,GNB,11673.4728869,Guinea-Bissau,Africa,Western Africa,0.0,29160.5976562,5838405750.08,2011,AGBP_Annual
106,106,GIN,13010.3313896,Guinea,Africa,Western Africa,0.0,31940.2265625,52366583843.3,2011,AGBP_Annual
238,243,TGO,11422.63193,Togo,Africa,Western Africa,0.0,27862.4277344,10691286498.1,2011,AGBP_Annual
