fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
135,137,KWT,22.423070809,Kuwait,Asia,Western Asia,0.0,9894.2734375,7270209.82534,2013,AGBP_Annual
139,141,LBN,5024.40272023,Lebanon,Asia,Western Asia,0.0,22726.828125,996484767.101,2013,AGBP_Annual
278,-1,PSE,2044.18083216,Occupied Palestinian Territory,Asia,Western Asia,0.0,19205.0839844,240389533.32,2013,AGBP_Annual
279,-2,,4312.38268814,No Man's Land,Asia,Western Asia,0.0,13810.0117188,6610882.66092,2013,AGBP_Annual
21,21,BHR,182.903538367,Bahrain,Asia,Western Asia,0.0,9598.44140625,2204536.34793,2013,AGBP_Annual
184,187,OMN,60.0186954255,Oman,Asia,Western Asia,0.0,13987.1035156,321855295.79,2013,AGBP_Annual
64,64,CYP,,Cyprus,Asia,Western Asia,,,0.0,2013,AGBP_Annual
198,201,QAT,18.9415371382,Qatar,Asia,Western Asia,0.0,10609.1689453,3930065.89157,2013,AGBP_Annual
212,215,SAU,69.593872474,Saudi Arabia,Asia,Western Asia,0.0,19712.578125,2392688347.97,2013,AGBP_Annual
233,238,SYR,1031.8874913,Syrian Arab Republic,Asia,Western Asia,0.0,21190.8300781,3848614266.11,2013,AGBP_Annual
118,118,IRQ,541.067640342,Iraq,Asia,Western Asia,0.0,12226.9404297,4572123822.68,2013,AGBP_Annual
250,255,ARE,31.4775237515,United Arab Emirates,Asia,Western Asia,0.0,8183.7109375,39310107.4641,2013,AGBP_Annual
121,121,ISR,1928.12390051,Israel,Asia,Western Asia,0.0,21548.7402344,759989316.625,2013,AGBP_Annual
128,130,JOR,211.541641571,Jordan,Asia,Western Asia,0.0,15291.5410156,358105094.81,2013,AGBP_Annual
264,269,YEM,307.150630662,Yemen,Asia,Western Asia,0.0,18443.7929688,2359481386.34,2013,AGBP_Annual
