fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
4,4,DZA,337.518681218,Algeria,Africa,Northern Africa,0.0,25527.1484375,14407818241.4,2015,AGBP_Annual
6,6,SDN,790.357755725,Sudan,Africa,Northern Africa,0.0,19720.4628906,24559060797.8,2015,AGBP_Annual
270,40760,,5.18255518286,Hala'ib triangle,Africa,Northern Africa,0.0,1186.8236084,1607618.25261,2015,AGBP_Annual
271,40762,,20.7162891441,Ma'tan al-Sarra,Africa,Northern Africa,0.0,383.613037109,723910.007852,2015,AGBP_Annual
272,40765,EGY,441.489850301,Egypt,Africa,Northern Africa,0.0,25388.3066406,7876919307.85,2015,AGBP_Annual
142,145,LBY,77.5778980943,Libya,Africa,Northern Africa,0.0,11153.6005859,2298051363.88,2015,AGBP_Annual
274,61013,,4556.26485063,Ilemi triangle,Africa,Northern Africa,329.708526611,22093.9804688,236351682.862,2015,AGBP_Annual
276,74582,,8385.56387047,Kafia Kenji,Africa,Northern Africa,2988.74780273,16495.7929688,1592485663.51,2015,AGBP_Annual
277,74583,,3396.80386285,Kaka,Africa,Northern Africa,0.0,8937.10351562,32483635.3405,2015,AGBP_Annual
166,169,MAR,2028.85813378,Morocco,Africa,Northern Africa,0.0,23416.2792969,16064744195.1,2015,AGBP_Annual
74,74,SSD,7878.61403443,South Sudan,Africa,Northern Africa,0.0,31242.8164062,81516820696.9,2015,AGBP_Annual
102,102,,3790.19979598,Abyei,Africa,Northern Africa,0.0,8004.87158203,657012183.635,2015,AGBP_Annual
243,248,TUN,1185.24817359,Tunisia,Africa,Northern Africa,0.0,22038.7324219,3604024419.88,2015,AGBP_Annual
263,268,ESH,37.780900888,Western Sahara,Africa,Northern Africa,0.0,9245.05078125,181637952.649,2015,AGBP_Annual
