fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
135,137,KWT,5.03330099614,Kuwait,Asia,Western Asia,0.0,2384.29907227,1632344.81276,2013,T_Annual
139,141,LBN,361.300298006,Lebanon,Asia,Western Asia,0.0,1922.09899902,71658494.6051,2013,T_Annual
278,-1,PSE,169.153545939,Occupied Palestinian Territory,Asia,Western Asia,0.0,1670.11096191,19893133.6166,2013,T_Annual
279,-2,,366.954292317,No Man's Land,Asia,Western Asia,11.5450000763,1017.86798096,562540.930121,2013,T_Annual
21,21,BHR,3.86747540651,Bahrain,Asia,Western Asia,0.0,2134.19506836,46695.8980582,2013,T_Annual
184,187,OMN,11.1019227963,Oman,Asia,Western Asia,0.0,3948.32495117,59558185.4735,2013,T_Annual
64,64,CYP,,Cyprus,Asia,Western Asia,,,0.0,2013,T_Annual
198,201,QAT,5.77703611418,Qatar,Asia,Western Asia,0.0,3800.5949707,1199000.73735,2013,T_Annual
212,215,SAU,12.4218740017,Saudi Arabia,Asia,Western Asia,0.0,4927.16210938,427113790.206,2013,T_Annual
233,238,SYR,69.6477166926,Syrian Arab Republic,Asia,Western Asia,0.0,2375.70605469,259767735.562,2013,T_Annual
118,118,IRQ,65.7049082777,Iraq,Asia,Western Asia,0.0,2753.14697266,555227171.993,2013,T_Annual
250,255,ARE,7.33178627685,United Arab Emirates,Asia,Western Asia,0.0,2991.70898438,9163853.03171,2013,T_Annual
121,121,ISR,139.642469985,Israel,Asia,Western Asia,0.0,2016.24499512,55054323.0766,2013,T_Annual
128,130,JOR,22.8700171319,Jordan,Asia,Western Asia,0.0,5477.47998047,38716103.1222,2013,T_Annual
264,269,YEM,60.8435176123,Yemen,Asia,Western Asia,0.0,2666.47802734,467471941.023,2013,T_Annual
