fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141,144,LBR,790.36945793,Liberia,Africa,Western Africa,0.0,1347.7800293,1243873968.46,2014,T_Annual
152,155,MLI,221.124669957,Mali,Africa,Western Africa,0.0,3520.13500977,4730039118.24,2014,T_Annual
156,159,MRT,34.687082837,Mauritania,Africa,Western Africa,0.0,3478.07104492,625671205.074,2014,T_Annual
29,29,BEN,809.399615997,Benin,Africa,Western Africa,0.0,2818.61694336,1542780420.06,2014,T_Annual
42,42,BFA,632.761568442,Burkina Faso,Africa,Western Africa,0.0,3167.62988281,2884313260.86,2014,T_Annual
178,181,NER,69.6372025771,Niger,Africa,Western Africa,0.0,3391.4440918,1407183046.95,2014,T_Annual
47,47,CPV,93.0400704643,Cabo Verde,Africa,Western Africa,0.0,2489.78100586,6372686.58638,2014,T_Annual
179,182,NGA,657.493794642,Nigeria,Africa,Western Africa,0.0,3787.65185547,9884957641.8,2014,T_Annual
66,66,CIV,850.12226181,CA'te d'Ivoire,Africa,Western Africa,0.0,2209.64990234,4500174050.35,2014,T_Annual
204,207,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2014,T_Annual
214,217,SEN,487.984481177,Senegal,Africa,Western Africa,0.0,3454.01196289,1607877634.47,2014,T_Annual
217,221,SLE,822.875655021,Sierra Leone,Africa,Western Africa,0.0,1641.44799805,976850501.837,2014,T_Annual
90,90,GMB,730.509921195,Gambia,Africa,Western Africa,0.0,2790.41186523,129544246.365,2014,T_Annual
94,94,GHA,774.327956917,Ghana,Africa,Western Africa,0.0,2703.24291992,3045314931.03,2014,T_Annual
105,105,GNB,967.261662865,Guinea-Bissau,Africa,Western Africa,0.0,2056.14599609,484360146.726,2014,T_Annual
106,106,GIN,844.489595907,Guinea,Africa,Western Africa,0.0,2489.44995117,3399514825.05,2014,T_Annual
238,243,TGO,752.319169288,Togo,Africa,Western Africa,0.0,1815.28393555,704151182.155,2014,T_Annual
