fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
4,4,DZA,23.0862324068,Algeria,Africa,Northern Africa,0.0,1957.56201172,985496431.643,2016,T_Annual
6,6,SDN,148.683077279,Sudan,Africa,Northern Africa,0.0,3997.66992188,4620494340.97,2016,T_Annual
270,40760,,0.492404577801,Hala'ib triangle,Africa,Northern Africa,0.0,1524.95202637,152754.732935,2016,T_Annual
271,40762,,2.60966930459,Ma'tan al-Sarra,Africa,Northern Africa,0.0,160.966003418,91192.2841797,2016,T_Annual
272,40765,EGY,48.9856915891,Egypt,Africa,Northern Africa,0.0,3761.34790039,874116943.965,2016,T_Annual
142,145,LBY,6.55217526628,Libya,Africa,Northern Africa,0.0,3027.65209961,194094753.752,2016,T_Annual
274,61013,,447.719990968,Ilemi triangle,Africa,Northern Africa,40.4109992981,1500.82897949,23225026.8115,2016,T_Annual
276,74582,,740.7522118,Kafia Kenji,Africa,Northern Africa,338.582000732,1654.67895508,140674771.039,2016,T_Annual
277,74583,,779.470727445,Kaka,Africa,Northern Africa,0.0,2625.95703125,7454078.56656,2016,T_Annual
166,169,MAR,100.733022456,Morocco,Africa,Northern Africa,0.0,1908.14099121,797721526.507,2016,T_Annual
74,74,SSD,851.611458348,South Sudan,Africa,Northern Africa,0.0,2996.63891602,8811278005.28,2016,T_Annual
102,102,,740.35405838,Abyei,Africa,Northern Africa,42.4319992065,1435.87695312,128336674.25,2016,T_Annual
243,248,TUN,79.7717175172,Tunisia,Africa,Northern Africa,0.0,2289.26293945,242583479.59,2016,T_Annual
263,268,ESH,3.79960057828,Western Sahara,Africa,Northern Africa,0.0,2177.52807617,18272947.9107,2016,T_Annual
