fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
135,137,KWT,0.00341492684895,Kuwait,Asia,Western Asia,0.0,1.01871860027,1107.21831731,2011,WPbm
139,141,LBN,0.879232704379,Lebanon,Asia,Western Asia,0.0,5.73222923279,174377.343027,2011,WPbm
278,-1,PSE,0.538615076678,Occupied Palestinian Territory,Asia,Western Asia,0.0,2.45114183426,63339.5171721,2011,WPbm
279,-2,,0.809945230192,No Man's Land,Asia,Western Asia,0.0,1.76267027855,1241.64603788,2011,WPbm
21,21,BHR,0.0194202396579,Bahrain,Asia,Western Asia,0.0,22.7561264038,234.072148597,2011,WPbm
184,187,OMN,0.0256615791947,Oman,Asia,Western Asia,0.0,4.63047599792,137612.374004,2011,WPbm
64,64,CYP,,Cyprus,Asia,Western Asia,,,0.0,2011,WPbm
198,201,QAT,0.00410938131503,Qatar,Asia,Western Asia,0.0,1.02159547806,852.630872767,2011,WPbm
212,215,SAU,0.0230774886125,Saudi Arabia,Asia,Western Asia,0.0,1.8681422472,793420.974295,2011,WPbm
233,238,SYR,0.287977151145,Syrian Arab Republic,Asia,Western Asia,0.0,12.1034889221,1074064.06097,2011,WPbm
118,118,IRQ,0.113190406447,Iraq,Asia,Western Asia,0.0,3.95179343224,956480.327467,2011,WPbm
250,255,ARE,0.0157463620191,United Arab Emirates,Asia,Western Asia,0.0,1.54542386532,19664.5450267,2011,WPbm
121,121,ISR,0.475245278233,Israel,Asia,Western Asia,0.0,4.32740354538,187322.678868,2011,WPbm
128,130,JOR,0.103637719301,Jordan,Asia,Western Asia,0.0,2.38035511971,175441.454915,2011,WPbm
264,269,YEM,0.0743138466309,Yemen,Asia,Western Asia,0.0,3.91697716713,570866.930976,2011,WPbm
