fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141,144,LBR,1.6684636343,Liberia,Africa,Western Africa,0.0,5.19803953171,2624843.67412,2012,WPbm
152,155,MLI,0.226658481214,Mali,Africa,Western Africa,0.0,1.84354376793,4848411.90641,2012,WPbm
156,159,MRT,0.0477276780146,Mauritania,Africa,Western Africa,0.0,0.989298045635,860843.700904,2012,WPbm
29,29,BEN,1.02828144945,Benin,Africa,Western Africa,0.0,2.5297036171,1959923.98,2012,WPbm
42,42,BFA,0.566907862754,Burkina Faso,Africa,Western Africa,0.0,1.63314330578,2584117.40283,2012,WPbm
178,181,NER,0.0685702797793,Niger,Africa,Western Africa,0.0,0.929849207401,1385614.31754,2012,WPbm
47,47,CPV,0.918788143531,Cabo Verde,Africa,Western Africa,0.0,24.1200504303,62326.9125045,2012,WPbm
179,182,NGA,0.963422737363,Nigeria,Africa,Western Africa,0.0,14.7629785538,14482484.6639,2012,WPbm
66,66,CIV,1.15387719905,CA'te d'Ivoire,Africa,Western Africa,0.0,3.78610396385,6107502.0154,2012,WPbm
204,207,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2012,WPbm
214,217,SEN,0.54016676197,Senegal,Africa,Western Africa,0.0,2.69796776772,1779063.53805,2012,WPbm
217,221,SLE,1.21502656309,Sierra Leone,Africa,Western Africa,0.0,5.51797199249,1441859.87215,2012,WPbm
90,90,GMB,0.616718439699,Gambia,Africa,Western Africa,0.0,1.87241721153,109188.149593,2012,WPbm
94,94,GHA,1.03618391939,Ghana,Africa,Western Africa,0.0,4.12032938004,4075027.44059,2012,WPbm
105,105,GNB,0.926565687863,Guinea-Bissau,Africa,Western Africa,0.0,2.51924419403,463415.342825,2012,WPbm
106,106,GIN,1.19428296021,Guinea,Africa,Western Africa,0.0,4.97781181335,4806988.91483,2012,WPbm
238,243,TGO,1.18598236654,Togo,Africa,Western Africa,0.0,3.49756479263,1110048.65954,2012,WPbm
