fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
4,4,DZA,0.109997122388,Algeria,Africa,Northern Africa,0.0,4.5020570755,4695498.75201,2016,WPbm
6,6,SDN,0.140796003719,Sudan,Africa,Northern Africa,0.0,2.48838448524,4375002.93898,2016,WPbm
270,40760,,0.00307082749081,Hala'ib triangle,Africa,Northern Africa,0.0,0.805269360542,952.564545994,2016,WPbm
271,40762,,0.00837680341158,Ma'tan al-Sarra,Africa,Northern Africa,0.0,0.120303601027,292.719018414,2016,WPbm
272,40765,EGY,0.0734705107344,Egypt,Africa,Northern Africa,0.0,3.54957032204,1310837.12155,2016,WPbm
142,145,LBY,0.0617700627644,Libya,Africa,Northern Africa,0.0,2.93363380432,1829783.80778,2016,WPbm
274,61013,,0.454738158169,Ilemi triangle,Africa,Northern Africa,0.0771221593022,2.19662284851,23589.0872169,2016,WPbm
276,74582,,0.728312385947,Kafia Kenji,Africa,Northern Africa,0.257967859507,1.425770998,138312.34859,2016,WPbm
277,74583,,0.350257205752,Kaka,Africa,Northern Africa,0.0,0.620712995529,3349.5096586,2016,WPbm
166,169,MAR,0.382453812943,Morocco,Africa,Northern Africa,0.0,5.25047540665,3028315.5678,2016,WPbm
74,74,SSD,0.593751293115,South Sudan,Africa,Northern Africa,0.0,5.84929513931,6143304.75434,2016,WPbm
102,102,,0.329783352581,Abyei,Africa,Northern Africa,0.0,0.605050325394,57166.2952532,2016,WPbm
243,248,TUN,0.320074340322,Tunisia,Africa,Northern Africa,0.0,3.40545940399,973260.929144,2016,WPbm
263,268,ESH,0.033455617546,Western Sahara,Africa,Northern Africa,0.0,1.21468353271,160843.434985,2016,WPbm
