fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
141,144,LBR,2.19961843676,Liberia,Africa,Western Africa,0.0,7.96826553345,3450213.6986,2011,WPnb
152,155,MLI,0.781208772055,Mali,Africa,Western Africa,0.0,2.95093774796,6823627.3861,2011,WPnb
156,159,MRT,0.407648290534,Mauritania,Africa,Western Africa,0.0,2.28621387482,909254.212608,2011,WPnb
29,29,BEN,1.5035491619,Benin,Africa,Western Africa,0.0,7.49187994003,2859738.47755,2011,WPnb
42,42,BFA,0.901121617135,Burkina Faso,Africa,Western Africa,0.0,2.91636824608,3951945.44728,2011,WPnb
178,181,NER,0.454979667283,Niger,Africa,Western Africa,0.0,1.88732492924,2164236.36182,2011,WPnb
47,47,CPV,1.77985196815,Cabo Verde,Africa,Western Africa,0.0,8.23228549957,51160.0649725,2011,WPnb
179,182,NGA,1.34345445358,Nigeria,Africa,Western Africa,0.0,15.0936822891,19974607.1006,2011,WPnb
66,66,CIV,1.63750505157,CA'te d'Ivoire,Africa,Western Africa,0.0,6.93646860123,8585101.65933,2011,WPnb
204,207,SHN,,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,,,0.0,2011,WPnb
214,217,SEN,0.768304693958,Senegal,Africa,Western Africa,0.0,5.89348888397,2475849.5834,2011,WPnb
217,221,SLE,1.49598232308,Sierra Leone,Africa,Western Africa,0.0,9.34670448303,1765983.19668,2011,WPnb
90,90,GMB,0.813479090821,Gambia,Africa,Western Africa,0.0,6.5265378952,140204.748261,2011,WPnb
94,94,GHA,1.59791947244,Ghana,Africa,Western Africa,0.0,6.27025222778,6078105.36832,2011,WPnb
105,105,GNB,1.22534565083,Guinea-Bissau,Africa,Western Africa,0.0,7.33402919769,608751.719334,2011,WPnb
106,106,GIN,1.57621281688,Guinea,Africa,Western Africa,0.0,13.5574808121,6331512.90733,2011,WPnb
238,243,TGO,1.8438972181,Togo,Africa,Western Africa,0.0,4.98745107651,1717361.6154,2011,WPnb
