fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
4,4,DZA,1.47667334173,Algeria,Africa,Northern Africa,0.0,14.0660943985,3424564.96019,2014,WPnb
6,6,SDN,0.770775051218,Sudan,Africa,Northern Africa,0.0,4.66863584518,9015223.93931,2014,WPnb
270,40760,,0.0703802877351,Hala'ib triangle,Africa,Northern Africa,0.0,0.76294285059,1.33722546697,2014,WPnb
271,40762,,0.185763744604,Ma'tan al-Sarra,Africa,Northern Africa,0.122936755419,0.237186580896,51.085029766,2014,WPnb
272,40765,EGY,0.916517185125,Egypt,Africa,Northern Africa,0.0,5.72153902054,784667.93939,2014,WPnb
142,145,LBY,1.33462879536,Libya,Africa,Northern Africa,0.0,4.71661329269,300131.323502,2014,WPnb
274,61013,,0.753425247231,Ilemi triangle,Africa,Northern Africa,0.168999284506,3.45424675941,38313.9340974,2014,WPnb
276,74582,,1.14930539444,Kafia Kenji,Africa,Northern Africa,0.347126215696,2.04544210434,218262.288847,2014,WPnb
277,74583,,0.73591270261,Kaka,Africa,Northern Africa,0.0,1.38235342503,6839.57265806,2014,WPnb
166,169,MAR,1.7462687392,Morocco,Africa,Northern Africa,0.0,15.2536048889,4247264.34986,2014,WPnb
74,74,SSD,1.00295005612,South Sudan,Africa,Northern Africa,0.0,7.97845983505,10341284.6363,2014,WPnb
102,102,,0.631464958679,Abyei,Africa,Northern Africa,0.0,1.43728637695,109460.661797,2014,WPnb
243,248,TUN,1.48165585582,Tunisia,Africa,Northern Africa,0.0,13.626619339,1038857.07668,2014,WPnb
263,268,ESH,0.141835786755,Western Sahara,Africa,Northern Africa,0.0,1.30752325058,50.9190474451,2014,WPnb
