fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
135,137,KWT,0.319144371837,Kuwait,Asia,Western Asia,0.0,3.14240837097,1920.92997409,2016,WPnb
139,141,LBN,1.48204713002,Lebanon,Asia,Western Asia,0.0,4.6905708313,206803.374475,2016,WPnb
278,-1,PSE,1.21511749519,Occupied Palestinian Territory,Asia,Western Asia,0.0,4.09829425812,84139.5958368,2016,WPnb
279,-2,,1.13502605516,No Man's Land,Asia,Western Asia,0.0,2.33348155022,1686.64871797,2016,WPnb
21,21,BHR,0.23384652108,Bahrain,Asia,Western Asia,0.0,2.7814207077,11.692326054,2016,WPnb
184,187,OMN,0.700655707159,Oman,Asia,Western Asia,0.0,6.29639005661,55190.6500529,2016,WPnb
64,64,CYP,,Cyprus,Asia,Western Asia,,,0.0,2016,WPnb
198,201,QAT,0.293668147446,Qatar,Asia,Western Asia,0.0,3.04473638535,873.662738653,2016,WPnb
212,215,SAU,0.439410829197,Saudi Arabia,Asia,Western Asia,0.0,4.23998785019,365687.798507,2016,WPnb
233,238,SYR,1.34913016461,Syrian Arab Republic,Asia,Western Asia,0.0,3.69769001007,814283.700412,2016,WPnb
118,118,IRQ,0.984732651928,Iraq,Asia,Western Asia,0.0,3.90267539024,1624707.44822,2016,WPnb
250,255,ARE,0.288546323635,United Arab Emirates,Asia,Western Asia,0.0,2.72294282913,5175.36686071,2016,WPnb
121,121,ISR,1.3289764348,Israel,Asia,Western Asia,0.0,4.04577827454,205729.539036,2016,WPnb
128,130,JOR,0.940882802998,Jordan,Asia,Western Asia,0.0,3.201141119,69404.2199631,2016,WPnb
264,269,YEM,0.527778502426,Yemen,Asia,Western Asia,0.0,6.61320638657,871782.419193,2016,WPnb
